Airbnb ID,Airbnb URL,Revenue Potential,Days Available,Annual Revenue,Occupancy,Daily Rate,Bedrooms
1329437538589456598,https://www.airbnb.com/rooms/1329437538589456598,144.8k,216,123.7k,48,1.2k,
1249048366479981368,https://www.airbnb.com/rooms/1249048366479981368,183.8k,235,123.7k,66,792.8,
361100691,,139.7k,245,123.6k,73,690.3,
54142780,https://www.airbnb.com/rooms/54142780,148.5k,304,123.4k,64,629.7,
999091387064665037,https://www.airbnb.com/rooms/999091387064665037,146.1k,263,123.4k,62,752.5,1
1003487570717732079,https://www.airbnb.com/rooms/1003487570717732079,171.4k,253,123.3k,83,587.1,
1112023454471273276,https://www.airbnb.com/rooms/1112023454471273276,136.4k,243,123.1k,81,624.9,
1373703613442923863,https://www.airbnb.com/rooms/1373703613442923863,141.4k,197,122.8k,85,730.7,
961409582862967158,https://www.airbnb.com/rooms/961409582862967158,165.8k,206,122.7k,57,1k,
1165849939357545140,https://www.airbnb.com/rooms/1165849939357545140,188.3k,195,122.6k,67,936.1,
43178924,https://www.airbnb.com/rooms/43178924,123.2k,327,122.3k,53,703.1,
1326809868635490899,https://www.airbnb.com/rooms/1326809868635490899,127.9k,264,122.3k,84,553.5,
1229519444171848863,https://www.airbnb.com/rooms/1229519444171848863,172.9k,247,122.3k,78,633.6,
1183461932397871113,https://www.airbnb.com/rooms/1183461932397871113,135.2k,191,122.2k,70,918.6,
713588301889935944,https://www.airbnb.com/rooms/713588301889935944,164.5k,270,121.8k,96,470.1,
873424042424749089,https://www.airbnb.com/rooms/873424042424749089,209.7k,227,121.3k,71,753.3,
1292629586780624129,https://www.airbnb.com/rooms/1292629586780624129,148.4k,257,121.1k,61,776.1,
1366489701670987607,https://www.airbnb.com/rooms/1366489701670987607,128.9k,187,120.8k,51,1.3k,
1326026711569083944,https://www.airbnb.com/rooms/1326026711569083944,129k,265,120.7k,75,606.6,
579512516838905091,https://www.airbnb.com/rooms/579512516838905091,157.6k,286,120.5k,61,692.7,
1322396151667458477,https://www.airbnb.com/rooms/1322396151667458477,120.5k,272,120.5k,78,571.2,
1244231200933785640,https://www.airbnb.com/rooms/1244231200933785640,122.7k,349,120.1k,70,494.4,
45985735,https://www.airbnb.com/rooms/45985735,143.9k,227,120.1k,80,660,
1052786033154810483,https://www.airbnb.com/rooms/1052786033154810483,144.1k,224,120.1k,75,718.9,
1293939125058185863,https://www.airbnb.com/rooms/1293939125058185863,167.6k,193,120.1k,62,1k,
1281296181257896064,https://www.airbnb.com/rooms/1281296181257896064,119.6k,306,119.6k,55,716.4,
1321572812724275540,https://www.airbnb.com/rooms/1321572812724275540,131.2k,251,119.5k,87,545.8,
690968416794081817,https://www.airbnb.com/rooms/690968416794081817,152k,282,119.5k,91,464.9,
1284690806746012754,https://www.airbnb.com/rooms/1284690806746012754,134.9k,197,119.4k,50,1.2k,
1282557394728891822,https://www.airbnb.com/rooms/1282557394728891822,150.8k,254,119.3k,87,537.6,
1150563489859955581,https://www.airbnb.com/rooms/1150563489859955581,120.3k,335,119.2k,70,507.4,
767154550096819420,https://www.airbnb.com/rooms/767154550096819420,141.5k,247,118.9k,78,615.9,
422640508,,125.5k,268,118.8k,58,766.6,
1181624642053395564,https://www.airbnb.com/rooms/1181624642053395564,164.5k,239,118.8k,69,724.4,
969479068951079586,https://www.airbnb.com/rooms/969479068951079586,190.2k,235,118.7k,66,760.8,
1318757892742134540,https://www.airbnb.com/rooms/1318757892742134540,137.2k,189,118.6k,73,859.1,
1026505361811097030,https://www.airbnb.com/rooms/1026505361811097030,140.8k,240,118.5k,87,569.8,
1030936847611862225,https://www.airbnb.com/rooms/1030936847611862225,161.5k,266,118.5k,89,499.9,
1236778968908504331,https://www.airbnb.com/rooms/1236778968908504331,156.9k,214,118.4k,67,828.2,
1201357627101927005,https://www.airbnb.com/rooms/1201357627101927005,142.6k,263,118.2k,88,509.5,
